City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
581,Paka,MY,78.8,Clouds,4.64,103.44,Rumbia Resort Villa Paka Terengganu
582,Lazaro Cardenas,MX,85.64,Clear,17.96,-102.2,Collection O Hotel Quinta Antigua
589,Bartica,GY,77.0,Clouds,6.4,-58.62,La Vista Hotel and Apartment
595,San Javier,ES,81.0,Clouds,37.81,-0.84,Hotel Mar Menor
596,San Juan De Abajo,MX,89.6,Clouds,20.82,-105.18,Lorenzo Anaya
597,Sabratah,LY,86.22,Clear,32.79,12.49,مقبرة المجاهديه
601,Vila Do Maio,CV,80.6,Clouds,15.13,-23.22,Residence 'I Delfini'
605,Seminole,US,84.2,Clouds,28.71,-81.21,WHITNEY-WOLCOTT HOUSE ON LAKE CHARM
609,Brigantine,US,87.8,Clear,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
610,Prince Albert,CA,78.8,Clouds,53.2,-105.77,Holiday Inn Express & Suites Prince Albert
611,Blytheville,US,84.2,Clear,35.93,-89.92,Days Inn by Wyndham Blytheville
614,Enshi,CN,80.94,Clear,30.3,109.48,Moevenpick Enshi
615,Port-Gentil,GA,77.0,Clouds,-0.72,8.78,Fengshui Residence
616,Sturgis,US,77.0,Clouds,41.8,-85.42,Best Western Plus Howe Inn
620,Mount Pleasant,US,86.0,Clouds,32.79,-79.86,Best Western Patriots Point
622,Shingu,JP,82.4,Clouds,33.73,135.98,Shingu UI Hotel
623,Dhidhdhoo,MV,82.58,Rain,6.88,73.1,Dhidhoo beach
625,Champerico,GT,87.8,Thunderstorm,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
626,Laramie,US,78.8,Clear,41.31,-105.59,Ramada by Wyndham Laramie
627,Tuy Hoa,VN,81.68,Clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
631,El Tigre,VE,77.07,Rain,8.89,-64.25,Hotel Santa Cruz
632,Banamba,ML,78.01,Clouds,13.55,-7.45,Kassela de Banamba
633,Los Llanos De Aridane,ES,75.99,Clouds,28.66,-17.92,Valle Aridane
640,Puerto Escondido,MX,86.0,Clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
641,Kiunga,PG,75.69,Clouds,-6.12,141.29,Airport Lodge Kiunga
643,Cayenne,GF,77.0,Clouds,4.93,-52.33,Hôtel Le Dronmi
645,Muncar,ID,75.69,Clouds,-8.43,114.33,Zaky Homestay
648,Olinda,BR,77.0,Clouds,-8.01,-34.86,Hotel 5 Sóis
650,Altamira,BR,77.02,Clouds,-3.2,-52.21,Requinte Hotel
653,Pombas,CV,80.6,Clouds,17.15,-25.02,POUSADA O RECANTO
655,Gairo,IT,80.6,Clear,39.85,9.5,Iradas Domo - Affittacamere
656,Kushima,JP,80.6,Clouds,31.46,131.23,Hanaoka
658,Mawlaik,MM,80.44,Clouds,23.63,94.42,AKZ Guest House
660,Syracuse,IT,78.8,Clear,37.09,15.28,Hotel Posta
662,East Foothills,US,82.99,Smoke,37.38,-121.82,Sierrabrook Apartments
664,Kalmunai,LK,79.95,Clouds,7.42,81.82,VS Villa
667,Namatanai,PG,84.9,Clouds,-3.67,152.43,Namatanai Hotel
668,Palmer,US,78.8,Thunderstorm,42.16,-72.33,Wedgewood Motel
670,Nago,JP,87.01,Clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
672,Trogir,HR,78.01,Clouds,43.51,16.25,Hotel Medena
676,Sibolga,ID,76.82,Clouds,1.74,98.78,Hotel Syariah CN Darussalam
677,Magnolia,US,89.01,Clear,33.27,-93.24,Budget Inn
687,Yasothon,TH,77.0,Clouds,15.75,104.13,Ban Suan Varaphan
689,Tirumullaivasal,IN,81.45,Clouds,11.23,79.83,"MATHAMPATTINAM, MODUNUTTI GROUP"
693,Ladario,BR,78.46,Clear,-19.0,-57.6,Hotel Fazenda 4 cantos
695,Xingcheng,CN,79.57,Clear,40.62,120.72,New Century Hotel
698,Srikakulam,IN,82.36,Clouds,18.3,83.9,Sriram residency
703,Eyl,SO,80.71,Clear,7.98,49.82,Amiin Hotel
705,Antequera,ES,90.0,Clear,37.02,-4.56,Hotel MM Antequera (anterior Hotel Las Villas)
