City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
67,Rundu,-17.93,19.77,59.49,32,0,5.3,Clear,2020-08-02 19:09:18
68,Touros,-5.2,-35.46,82.4,69,40,11.41,Clouds,2020-08-02 19:09:19
69,Qaanaaq,77.48,-69.36,38.61,82,100,13.15,Clouds,2020-08-02 19:09:19
70,Jian,27.12,114.98,80.38,76,1,3.65,Clear,2020-08-02 19:09:19
71,Salalah,17.02,54.09,82.4,83,40,3.36,Clouds,2020-08-02 19:09:19
72,Kuminskiy,58.67,66.57,69.78,70,0,7.72,Clear,2020-08-02 19:09:19
73,Mar Del Plata,-38.0,-57.56,60.8,55,100,10.29,Clouds,2020-08-02 19:07:39
74,Lavrentiya,65.58,-171.0,46.06,72,64,8.57,Clouds,2020-08-02 19:07:53
75,Atuona,-9.8,-139.03,78.62,75,1,16.87,Clear,2020-08-02 19:07:24
76,Davila,18.47,120.58,80.6,83,90,2.24,Rain,2020-08-02 19:02:10
77,Hilo,19.73,-155.09,77.0,73,90,8.05,Clouds,2020-08-02 19:07:18
78,Saint-Philippe,-21.36,55.77,69.8,60,90,12.75,Clouds,2020-08-02 19:07:26
79,Port Hardy,50.7,-127.42,57.2,93,90,2.24,Rain,2020-08-02 19:07:34
80,Hami,42.8,93.45,82.65,15,100,3.87,Clouds,2020-08-02 19:07:59
81,Tilichiki,60.47,166.1,50.52,81,77,3.49,Clouds,2020-08-02 19:09:20
82,Mataura,-46.19,168.86,47.03,95,92,1.88,Clouds,2020-08-02 19:07:17
83,Houma,29.6,-90.72,88.0,94,40,8.05,Thunderstorm,2020-08-02 18:59:16
84,Jamestown,42.1,-79.24,72.0,88,90,13.87,Rain,2020-08-02 19:07:23
85,Trairi,-3.28,-39.27,83.25,64,3,14.25,Clear,2020-08-02 19:09:20
86,Asosa,10.07,34.53,62.11,100,69,1.72,Rain,2020-08-02 19:09:21
87,Mirador,-6.37,-44.36,93.38,30,8,7.49,Clear,2020-08-02 19:09:21
88,Kerema,-7.96,145.78,74.64,85,93,2.59,Clouds,2020-08-02 19:09:21
89,Kuusamo,65.97,29.18,53.6,81,20,4.7,Clouds,2020-08-02 19:09:21
